Host,Label_0,Label_1,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s,X,Y,cluster,pub_number
E3,E,R,1.973591146,-0.069482751,-2.015392901,-1.508575298,-0.15909491,-0.041311875,0.744617039,6.17737,2.223781,1,
E6,E,X,0.972874312,-0.89439271,-1.987139879,-1.611350539,1.666021492,1.28302924,0.366738508,8.884876,-0.053721726,1,
P-NO2,N,P,1.247729865,0.49086687,-0.949494712,-1.20080914,0.349788272,-0.438669088,-0.795344032,11.507906,0.99912786,1,
E7,E,H,1.310406893,0.260584768,-1.590015201,-1.422961116,-0.481352576,0.019422711,1.01155152,7.5966306,1.9731095,1,
AH2,A,A,1.048966825,0.09345538,-0.822835352,-0.874128646,-0.352831723,0.275776937,0.355819644,10.64261,-0.15657684,1,
DM1,D,A,0.62957009,0.069954302,-1.229328683,-1.597979818,-0.24849943,2.143697822,0.363302112,9.5963125,-0.012024226,1,
E1,E,D,1.976740507,0.151782968,-0.998789059,-1.819769611,-0.850369054,-0.580078724,0.857508931,7.596921,6.611373,2,
PSC4,N,N,1.936168702,-0.108587283,-1.083374221,-1.476863138,-0.560572406,-0.06413552,0.843421533,8.811255,5.1045375,2,
AO2,A,R,2.212416223,0.361816254,-0.971368282,-1.940768839,-2.25922257,0.183124465,0.736509703,8.987898,8.95974,2,
AM2,A,D,2.773496046,0.08449404,-1.113209152,-2.094038405,-1.246740544,-0.666922049,0.901693869,4.7397513,8.619905,2,
AM1,A,A,1.747340223,-0.001859632,-0.877328371,-1.531254838,-0.819059462,-0.289541706,0.732109543,9.373083,5.7782035,2,
AP7,A,B,1.792582204,0.876291472,-1.519819679,-1.161185871,-2.561273554,-0.584110862,1.113619658,9.508629,8.622393,2,
AP5,A,X,2.070832675,0.29197661,-0.791368206,-1.93650051,-1.141570636,-0.481213278,0.499615975,7.5947204,8.389605,2,
AP4,A,K,1.87776924,-0.019350745,-0.978201091,-1.862403509,-1.093270421,-0.019350745,0.961478508,9.636483,7.0496016,2,
AP3,A,K,1.895058549,0.285620637,-1.067883902,-1.557432127,-0.764201488,-0.327483836,0.691085745,8.159479,5.671332,2,
AP1,A,D,2.429950958,0.243899681,-1.065433639,-2.058685412,-1.029065995,-0.577080871,0.649364789,6.1048923,9.012839,2,
PSC6,N,N,2.70935069,0.297566305,-1.202672315,-2.429901982,-0.832298527,0.13051222,0.65038768,5.4898868,9.753408,2,
DP2,D,D,1.797435851,0.31583131,-0.600459422,-1.542067962,-0.942949731,-0.728292794,0.355052023,8.023336,7.2783327,2,
E11,E,H,2.625474229,-0.204743606,-0.816545147,-2.756224746,-1.237758612,-0.204743606,0.910675801,5.0054173,9.412992,2,
