Host,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s,log_H3K4,log_H3K4ac,log_H3K4me1,log_H3K4me2,log_H3K4me3,log_H3K9me3,log_H3R2me2a,log_H3R2me2s,avg_H3K4,avg_H3K4ac,avg_H3K4me1,avg_H3K4me2,avg_H3K4me3,avg_H3K9me3,avg_H3R2me2a,avg_H3R2me2s,log_all_A,log_all_B,log_all_C,log_all_D,log_all_E,log_all_F,per_cal_H3K4,per_cal_H3K4ac,per_cal_H3K4me1,per_cal_H3K4me2,per_cal_H3K4me3,per_cal_H3K9me3,per_cal_H3R2me2a,per_cal_H3R2me2s
DP2,0.7,1.1,0.25,0.1,0.039,0.071,0.088,0.26,-0.356674944,0.09531018,-1.386294361,-2.302585093,-3.244193633,-2.645075402,-2.430418465,-1.347073648,0.20920127,0.183574734,0.320734868,0.611583389,0.255871933,0.174117762,0.166229056,0.218566373,,,,,,,4.925415142,7.73993808,1.759076836,0.703630735,0.274415986,0.499577822,0.619195046,1.82943991
DM1,0.36,0.77,0.44,0.12,0.083,0.32,3.5,0.59,-1.021651248,-0.261364764,-0.820980552,-2.120263536,-2.488914671,-1.139434283,1.252762968,-0.527632742,0.107589224,0.128502314,0.564493367,0.733900067,0.54454796,0.784756113,6.611382912,0.495977538,,,,,,,2.533070645,5.417956656,3.095975232,0.844356882,0.58401351,2.251618351,24.62707571,4.151421334
DO2,0.036,0.05,4.4,1.3,0.61,1.5,4.1,4.7,-3.324236341,-2.995732274,1.481604541,0.262364264,-0.494296322,0.405465108,1.410986974,1.547562509,0.010758922,0.008344306,5.644933672,7.950584062,4.002099462,3.678544277,7.74476284,3.951007507,,,,,,,0.253307064,0.351815367,30.95975232,9.14719955,4.292147481,10.55446102,28.84886012,33.07064453
DO3,0.0038,0.0019,0.023,0.0081,0.0048,0.011,0.016,0.0038,-5.572754212,-6.265901393,-3.772261063,-4.815891217,-5.339139361,-4.509860006,-4.135166557,-5.572754212,0.001135664,0.000317084,0.029507608,0.049538255,0.03149193,0.026975991,0.030223465,0.003194432,,,,,,,0.026737968,0.013368984,0.161835069,0.05699409,0.033774275,0.077399381,0.112580918,0.026737968
CP1,100,3.8,1.5,0.31,0.52,0.59,0.62,0.65,4.605170186,1.335001067,0.405465108,-1.171182982,-0.653926467,-0.527632742,-0.478035801,-0.430782916,29.88589565,0.634167263,1.924409206,1.895908507,3.411625771,1.446894082,1.171159259,0.546415932,,,,,,,37.68110481,1.431881983,0.565216572,0.116811425,0.195941745,0.222318518,0.23362285,0.244927181
CP2,100,1000,6.2,0.27,0.57,1.2,0.55,4.4,4.605170186,6.907755279,1.824549292,-1.30933332,-0.562118918,0.182321557,-0.597837001,1.481604541,29.88589565,166.8861219,7.95422472,1.651275151,3.73966671,2.942835422,1.038931601,3.698815538,,,,,,,37.68110481,376.8110481,2.336228498,0.101738983,0.214782297,0.452173258,0.207246076,1.657968612
E1,2.4,4.9,0.79,0.25,0.11,0.29,0.38,1.6,0.875468737,1.589235205,-0.235722334,-1.386294361,-2.207274913,-1.237874356,-0.967584026,0.470003629,0.717261496,0.817741997,1.013522182,1.528958473,0.721690067,0.711185227,0.717807288,1.345023832,,,,,,,1.408657373,2.876008804,0.463683052,0.146735143,0.064563463,0.170212766,0.223037417,0.939104916
E3,1.1,2.7,0.35,0.05,0.083,0.32,0.36,0.79,0.09531018,0.993251773,-1.049822124,-2.995732274,-2.488914671,-1.139434283,-1.021651248,-0.235722334,0.328744852,0.450592529,0.449028815,0.305791695,0.54454796,0.784756113,0.680027957,0.664105517,,,,,,,0.645634629,1.584739545,0.2054292,0.029347029,0.048716067,0.187820983,0.211298606,0.463683052
E5,57,100,2.1,0.47,0.31,0.81,1.5,4.7,4.043051268,4.605170186,0.741937345,-0.755022584,-1.171182982,-0.210721031,0.405465108,1.547562509,17.03496052,16.68861219,2.694172889,2.87444193,2.033853825,1.98641391,2.83344982,3.951007507,,,,,,,33.45561262,58.69405723,1.232575202,0.275862069,0.181951577,0.475421864,0.880410858,2.75862069
E6,0.51,1.1,0.17,0.057,0.083,2.2,1.5,0.6,-0.673344553,0.09531018,-1.771956842,-2.864704011,-2.488914671,0.78845736,0.405465108,-0.510825624,0.152418068,0.183574734,0.21809971,0.348602532,0.54454796,5.395198274,2.83344982,0.504383937,,,,,,,0.299339692,0.645634629,0.099779897,0.033455613,0.048716067,1.291269259,0.880410858,0.352164343
E7,7.9,12,4.2,0.66,0.78,2,3.3,8.9,2.066862759,2.48490665,1.435084525,-0.415515444,-0.248461359,0.693147181,1.193922468,2.186051277,2.360985756,2.002633463,5.388345778,4.03645037,5.117438656,4.904725703,6.233589603,7.481695066,,,,,,,4.636830521,7.043286867,2.465150404,0.387380778,0.457813646,1.173881145,1.936903888,5.223771093
E8,15,100,2.6,0.88,0.86,2.6,3.6,23,2.708050201,4.605170186,0.955511445,-0.127833372,-0.15082289,0.955511445,1.280933845,3.135494216,4.482884348,16.68861219,3.335642624,5.381933827,5.64230416,6.376143414,6.800279567,19.33471759,,,,,,,8.804108584,58.69405723,1.526045488,0.516507704,0.504768892,1.526045488,2.11298606,13.49963316
E11,39,100,5.9,3.2,0.46,2.1,5.9,18,3.663561646,4.605170186,1.774952351,1.16315081,-0.776528789,0.741937345,1.774952351,2.890371758,11.6554993,16.68861219,7.569342878,19.57066846,3.017976643,5.149961988,11.14490262,15.13151811,,,,,,,22.89068232,58.69405723,3.462949376,1.878209831,0.269992663,1.232575202,3.462949376,10.5649303
F2,1000,1000,0.0038,0.0098,0.018,0.0071,0.0091,0.02,6.907755279,6.907755279,-5.572754212,-4.625372893,-4.017383521,-4.947660495,-4.699480865,-3.912023005,298.8589565,166.8861219,0.00487517,0.059935172,0.118094738,0.017411776,0.017189596,0.016812798,,,,,,,952.1270518,952.1270518,0.003618083,0.009330845,0.017138287,0.006760102,0.008664356,0.019042541
F3,7.1,100,0.6,0.19,0.72,100,0.34,1.3,1.960094784,4.605170186,-0.510825624,-1.660731207,-0.328504067,4.605170186,-1.078809661,0.262364264,2.121898591,16.68861219,0.769763683,1.16200844,4.723789529,245.2362852,0.642248626,1.092831864,,,,,,,6.760102068,95.21270518,0.571276231,0.18090414,0.685531477,95.21270518,0.323723198,1.237765167
F4,3.9,19,2.1,0.18,1,5.3,2,4.9,1.360976553,2.944438979,0.741937345,-1.714798428,0,1.667706821,0.693147181,1.589235205,1.16554993,3.170836316,2.694172889,1.100850101,6.56081879,12.99752311,3.777933093,4.119135486,,,,,,,3.713295502,18.09041398,1.999466809,0.171382869,0.952127052,5.046273375,1.904254104,4.665422554
(log)AVG,3.346057354,5.99210585,0.779461882,0.163511952,0.152417897,0.40776759,0.529393174,1.189567405,1.207782743,1.790442911,-0.249151492,-1.81086919,-1.881129207,-0.8970579,-0.636023883,0.173589716,,,,,,,,,,,,,,,,,,,,,,
