mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,test_mse
0.02443869908650716,0.0012987744424185045,0.0019911924997965493,2.4225277876421562e-05,True,,1,2,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",-2.4339628409962892,-4.596472380192492,-7.076449419538832,-4.702294880242538,1.89676377181847,103,1.0001660030150827
0.11479616165161133,0.004756098573285154,0.0059731801350911455,0.00010138637749980832,True,,1,2,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-1.9866257437669788,-4.681748827292144,-6.303951129403401,-4.324108566820841,1.7805906395159363,85,1.0001660030150827
0.22202126185099283,0.0023242844639527653,0.010885238647460938,0.00012759931298042358,True,,1,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1.8650785362221158,-5.107587569365458,-6.7277915305814,-4.566819212056324,2.02168530828082,99,1.0001660030150827
0.020569562911987305,0.0002788315900472795,0.0019632975260416665,2.4345431040057933e-05,True,,1,5,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",-1.7838616803056873,-4.798604317437124,-6.1793075503544825,-4.2539245160324315,1.8353007317014731,65,1.0001660030150827
0.09981584548950195,0.0067542263199407895,0.005479176839192708,0.0005180857240874359,True,,1,5,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-1.883157018171702,-4.62086556255223,-6.310166146178713,-4.271396242300882,1.8241343260502234,73,1.0001660030150827
0.19098345438639322,0.0041262771891491384,0.009815454483032227,0.0006506272223227217,True,,1,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1.8258390451613564,-4.476251790703695,-6.654672017969719,-4.318920951278257,1.9744993820537644,82,1.0001660030150827
0.01983475685119629,0.0007332235378425658,0.0022864341735839844,0.0005733729395243124,True,,1,10,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",-2.0471556629029033,-3.6097304300776165,-6.127370042769318,-3.928085378583279,1.6808826553026044,33,1.0001660030150827
0.09192633628845215,0.003911442397636648,0.005850156148274739,0.00013897306062739186,True,,1,10,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-1.7721183398822522,-5.03177545248057,-6.77239779443171,-4.525430528931511,2.0725165929533245,97,1.0001660030150827
0.16875251134236655,0.008663922954382803,0.010413646697998047,0.000420514819959056,True,,1,10,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-1.8183688596549503,-4.6527518403042825,-6.525878428857035,-4.332333042938756,1.9351421550386037,86,1.0001660030150827
0.020752509435017902,0.001257777846132162,0.0016740163167317708,0.00033443440932058957,True,,2,2,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",-1.8530099938383957,-5.010382239337568,-6.552190163357395,-4.471860798844453,1.9558591586654421,93,1.0001660030150827
0.08814112345377605,0.004966246627083669,0.005028963088989258,0.0006241666653036572,True,,2,2,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-1.6935531886767594,-5.167167885834042,-6.4194646379716716,-4.426728570827491,1.9991243985054579,90,1.0001660030150827
0.17774375279744467,0.005685567485359295,0.009564081827799479,0.0010975153527232532,True,,2,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1.7990555490843363,-5.207279236670025,-6.176188125634259,-4.394174303796206,1.877174671693508,89,1.0001660030150827
0.02095349629720052,0.0009071667117419464,0.0018909772237141926,7.398440922014249e-05,True,,2,5,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",-1.9024448272318963,-4.376058584417509,-6.556664216565423,-4.278389209404943,1.9013318158812689,76,1.0001660030150827
0.09498794873555501,0.004652125320501866,0.006123701731363933,0.00033656655686373986,True,,2,5,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-1.7847945754220744,-4.835831750355621,-5.8815800680056425,-4.167402131261112,1.738008718778077,43,1.0001660030150827
0.18817408879597983,0.012865016989258701,0.010150750478108725,5.458148329564919e-05,True,,2,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1.7676660915974178,-4.130585291974778,-6.293612903616636,-4.0639547623962775,1.8483106443291515,39,1.0001660030150827
0.019472837448120117,0.00032248460933302815,0.001863718032836914,6.194938725256766e-05,True,,2,10,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",-1.9723917403337847,-3.8753536130456716,-5.831770955183063,-3.893172102854173,1.5756353437977435,32,1.0001660030150827
0.08893179893493652,0.005024565761217184,0.006401459376017253,0.0011002525566801862,True,,2,10,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-1.8212876209439106,-4.554045641130345,-6.160359000902512,-4.1785640876589225,1.7912053498211655,45,1.0001660030150827
0.168320099512736,0.008337976812478253,0.009920120239257812,0.0006659370507717094,True,,2,10,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-1.6639527532485248,-4.19089011259247,-6.201517488710596,-4.018786784850531,1.8564460848068693,38,1.0001660030150827
0.018483082453409832,0.00029904104842833534,0.0018302599589029949,5.717816820993783e-05,True,,4,2,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10}",-1.9789953545318075,-3.151427834717983,-6.2244951648393565,-3.7849727846963823,1.7901771909623374,25,1.0001660030150827
0.08418758710225423,0.0005458509003535558,0.005382219950358073,0.000515542064144942,True,,4,2,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-1.7134410845983783,-3.3323093883952204,-5.593604362414458,-3.5464516118026856,1.5912907621409158,10,1.0001660030150827
0.16521096229553223,0.004648172358734218,0.007504065831502278,0.002063653138188776,True,,4,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-1.6504267461438087,-3.259138055184501,-5.667981910324137,-3.525848903884149,1.650967066483272,6,1.0001660030150827
0.018708149592081707,0.0003101730316705912,0.0018711090087890625,7.52786291631579e-05,True,,4,5,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10}",-2.138302692848135,-3.1794874603776435,-5.891312878463633,-3.736367677229804,1.5819519683552132,24,1.0001660030150827
0.0875871976216634,0.0022309379176808325,0.0052738189697265625,0.0004249902403673949,True,,4,5,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",-1.6899878083990216,-3.110505666909637,-5.901931965597954,-3.567475146968871,1.7496160007498334,15,1.0001660030150827
0.15955654780069986,0.01722157477893276,0.009432554244995117,0.001467357109015437,True,,4,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-1.636684617649128,-3.1045740736507157,-5.728160898960508,-3.4898065300867835,1.692404123183393,3,1.0001660030150827
0.02060834566752116,0.005175401287096289,0.0020163853963216147,0.00027245255236264945,True,,4,10,10,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10}",-1.4298534757980386,-3.3746717001986624,-5.709316493354173,-3.504613889783625,1.7494979582979922,5,1.0001660030150827
0.08018032709757487,0.005201238151390976,0.0056947072347005205,5.784172095959562e-05,True,,4,10,50,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-1.7383002133274987,-3.0590556932971142,-5.7007900161075495,-3.4993819742440544,1.6473709933412883,4,1.0001660030150827
0.1531991958618164,0.0019095747890642734,0.009579181671142578,0.0012178290483924729,True,,4,10,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-1.6053874052021786,-3.2001776202982017,-5.899237384581554,-3.5682674700273114,1.7721746555121223,16,1.0001660030150827
0.023940404256184895,0.0015400525078922314,0.0018517176310221355,3.0354679309654746e-05,True,10,1,2,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",-2.5984364621056657,-5.864065670787006,-6.182965892002599,-4.881822674965091,1.6198382194075673,107,1.0001660030150827
0.10853981971740723,0.0031471613860222466,0.007027943929036458,0.002175404824012452,True,10,1,2,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-1.9488702554581927,-4.839276086224603,-6.63838828913218,-4.475511543604992,1.931689817903628,94,1.0001660030150827
0.205140749613444,0.008060738797435334,0.009250005086263021,0.0024122119368526294,True,10,1,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1.8513536897512672,-5.344134667209096,-6.762286113270972,-4.6525914900771115,2.063651826491512,101,1.0001660030150827
0.02075680096944173,0.001574193189131642,0.002651770909627279,0.0011455054848997696,True,10,1,5,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",-1.9806893192667416,-3.5403646424678588,-7.311494728872845,-4.277516230202482,2.2378435939159798,75,1.0001660030150827
0.08183423678080241,0.010019591851274193,0.00425267219543457,0.001161482383270684,True,10,1,5,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-2.0147773434106937,-5.588214070897604,-6.665187609157798,-4.756059674488699,1.9876182756486074,105,1.0001660030150827
0.19071698188781738,0.0039802024948773895,0.008790413538614908,0.001977092689128284,True,10,1,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1.7881334997932476,-4.990347093587556,-6.783022261857927,-4.520500951746244,2.0660421073641233,96,1.0001660030150827
0.014736255009969076,0.0035487779625069846,0.0014243125915527344,0.0002457692757407514,True,10,1,10,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",-2.0962054778600083,-4.583570892652742,-6.45686411225481,-4.37888016092252,1.7861055685807365,88,1.0001660030150827
0.08571362495422363,0.0036028995956017312,0.005711873372395833,6.893673934183936e-05,True,10,1,10,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-1.7730367687980195,-4.370645252010218,-6.418663117550287,-4.187448379452841,1.9009877894823408,46,1.0001660030150827
0.16442179679870605,0.00952706468926678,0.010550340016682943,0.0002541852420769033,True,10,1,10,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-1.6832985005417618,-4.29049976385165,-6.534673692686934,-4.169490652360115,1.9824131284099826,44,1.0001660030150827
0.01485117276509603,0.003137121196762042,0.0016005833943684895,0.00033615454583977845,True,10,2,2,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",-2.4308594156669407,-5.615388599170522,-6.411989452839554,-4.819412489225672,1.7199869319119268,106,1.0001660030150827
0.07932130495707194,0.009978492732454708,0.004497369130452474,0.000767395332399605,True,10,2,2,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-1.921787518450491,-4.846833028058695,-6.191825467488219,-4.320148671332468,1.782573669402506,84,1.0001660030150827
0.17182326316833496,0.010283437614326938,0.007483561833699544,0.001919648894476216,True,10,2,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1.7134867494180785,-4.692809122048834,-6.269652391381645,-4.225316087616186,1.8891927098074817,50,1.0001660030150827
0.02027289072672526,0.0005113177317660068,0.0017958482106526692,3.534836304069208e-05,True,10,2,5,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",-2.012876170301218,-2.8349051463809523,-6.72657856988202,-3.858119962188063,2.0558816433862526,30,1.0001660030150827
0.0855262279510498,0.004552855898301043,0.005562543869018555,0.0001848656931295524,True,10,2,5,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-1.7645883402643203,-4.7851087255751725,-6.188020558647827,-4.2459058748291065,1.8456693335748273,55,1.0001660030150827
0.16500361760457358,0.008057897326419743,0.008841435114542643,0.001959796759458831,True,10,2,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1.8265408953364126,-4.551866796152564,-6.10576573262177,-4.161391141370249,1.7686708247990885,42,1.0001660030150827
0.01709262530008952,0.0024617506221921034,0.0015530586242675781,0.0002957997346799244,True,10,2,10,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",-1.8973994920252428,-4.562886855701081,-6.4994584423351816,-4.319914930020502,1.8866218775072816,83,1.0001660030150827
0.0807963212331136,0.007222323875824016,0.005501906077067058,0.0001796487113729421,True,10,2,10,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-1.8794418449560546,-3.9161457419071226,-6.122629454718587,-3.972739013860588,1.7327362506997168,35,1.0001660030150827
0.15857776006062826,0.006790366325770975,0.00882863998413086,0.0021242720864302,True,10,2,10,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-1.663722688478682,-3.738001147267703,-6.081737937470847,-3.827820591072411,1.804765051088528,27,1.0001660030150827
0.016387542088826496,0.003089591938960209,0.0016110738118489583,0.00027396735071676104,True,10,4,2,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10}",-1.8051960020969389,-3.3423304177425663,-5.565280451727851,-3.5709356238557852,1.5435357726738095,17,1.0001660030150827
0.0768891970316569,0.011541150044628018,0.005632718404134114,0.00013732252465794076,True,10,4,2,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-1.7105309368598298,-3.130418437812624,-5.822643182027892,-3.5545308522334484,1.705338731604306,13,1.0001660030150827
0.14612555503845215,0.01593991489862215,0.008520762125651041,0.0018733967519477107,True,10,4,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-1.6596775149483347,-3.2063263432463533,-5.569085282457685,-3.4783630468841245,1.607559278173009,1,1.0001660030150827
0.019101460774739582,0.0005646847730982942,0.0018266042073567708,7.191797629254996e-05,True,10,4,5,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10}",-1.6304359939929534,-3.238719215639168,-6.042384878672499,-3.6371800294348735,1.8230746017564803,21,1.0001660030150827
0.08084305127461751,0.0036071176159950444,0.005536397298177083,0.00010659600788606385,True,10,4,5,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",-1.6578206950295262,-3.224419760680007,-5.751743022997847,-3.544661159569127,1.6866072299207135,9,1.0001660030150827
0.15984137852986655,0.007624470195277824,0.009394089380900065,0.0013557788073394112,True,10,4,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-1.7526632025144764,-3.099360215946667,-5.8362774471033445,-3.562766955188163,1.6990263249153623,14,1.0001660030150827
0.017765919367472332,0.00034613004275595654,0.0017880598704020183,4.267640767650373e-05,True,10,4,10,10,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10}",-1.844214808232702,-3.5750244964771407,-6.252717855634972,-3.8906523867816047,1.8135490993431107,31,1.0001660030150827
0.07896081606547038,0.0021022046890105664,0.004376570383707683,0.0009299540915637794,True,10,4,10,50,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-1.736260067376809,-3.315509495361205,-5.898911715792692,-3.6502270928435685,1.7157979852074936,22,1.0001660030150827
0.1480844815572103,0.015777418121595582,0.01016847292582194,0.0002428774588815052,True,10,4,10,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-1.6897236280356713,-2.998976855834549,-5.966285410670132,-3.5516619648467844,1.7891042064797507,11,1.0001660030150827
0.021929264068603516,0.002563588947018613,0.0018225510915120442,1.2860368779441569e-05,True,50,1,2,10,"{'bootstrap': True, 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",-2.0192685698603188,-6.15760862918158,-6.591518341828077,-4.9227985136233245,2.0607335280474843,108,1.0001660030150827
0.09406932195027669,0.0048107910591219044,0.005288839340209961,0.0006114402699717667,True,50,1,2,50,"{'bootstrap': True, 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-2.1911773511462287,-4.915152042840458,-6.565462590603045,-4.557263994863244,1.8036362771165273,98,1.0001660030150827
0.19664883613586426,0.01206067748876466,0.007473866144816081,0.0018457086113249832,True,50,1,2,100,"{'bootstrap': True, 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1.9779440001544228,-5.460563526094094,-6.801829703128217,-4.746779076458911,2.0329919657562994,104,1.0001660030150827
0.020905256271362305,0.00565690882938782,0.001625378926595052,0.0003192322587490817,True,50,1,5,10,"{'bootstrap': True, 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",-2.1625921576972984,-5.170013665595941,-6.7279726552583154,-4.686859492850519,1.894862042094992,102,1.0001660030150827
0.0963285764058431,0.0065671156498955715,0.005609750747680664,0.00014714386559951662,True,50,1,5,50,"{'bootstrap': True, 'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-1.9102852847114244,-5.028860959987983,-6.80267553497345,-4.580607259890953,2.022303822369056,100,1.0001660030150827
