mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__epsilon,param_estimator__gamma,param_estimator__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.005885481834411621,0.00040509830150450415,0.0016256332397460937,0.00011397930267061702,100,0.1,auto,rbf,"{'estimator__C': 100, 'estimator__epsilon': 0.1, 'estimator__gamma': 'auto', 'estimator__kernel': 'rbf'}",-9.318759934802186,-1.5185985886758837,-3.4708870067651496,-2.734253179424141,-1.6075958349021504,-0.9834401926242352,-0.09366178120690713,-2.632799278162428,-1.5408262182960506,-1.8900937810644227,-2.5790915795923555,2.420537444145514,1
0.0058793783187866214,0.0013716485026176364,0.0014400005340576172,4.9095103790684546e-05,100,0.5,auto,rbf,"{'estimator__C': 100, 'estimator__epsilon': 0.5, 'estimator__gamma': 'auto', 'estimator__kernel': 'rbf'}",-9.399343517141165,-1.3923500143042555,-3.0282072459173186,-2.703794179029506,-2.0191136767160067,-1.178467342029836,-0.07911519210574278,-2.3951259137286605,-1.4697901498361277,-2.151051272406783,-2.5816358503215406,2.41068869617646,2
0.007526254653930664,0.0029235428666802648,0.0016941785812377929,0.0005019613539366512,100,0.2,auto,rbf,"{'estimator__C': 100, 'estimator__epsilon': 0.2, 'estimator__gamma': 'auto', 'estimator__kernel': 'rbf'}",-9.487633307696342,-1.4854703452126876,-3.334926037408308,-2.701121238273178,-1.7118583862646062,-1.0104415372064102,-0.08085025800704726,-2.5643854653099543,-1.4947630581324125,-1.949990918956403,-2.5821440552467347,2.4604015591729773,3
0.005425310134887696,0.0023272350669889938,0.0013132095336914062,4.21624905184433e-05,100,1,auto,rbf,"{'estimator__C': 100, 'estimator__epsilon': 1, 'estimator__gamma': 'auto', 'estimator__kernel': 'rbf'}",-8.56947269213386,-1.4424817019523335,-2.3998831214975693,-2.951107011764406,-2.3870977272256306,-1.739527238392302,-0.17763930011446763,-2.253813214115674,-1.4635320416230944,-2.49997672974532,-2.5884530778564656,2.126297812970017,4
0.0068553447723388675,0.002358351599202922,0.0014073610305786132,0.00021481374921147525,1,1,scale,rbf,"{'estimator__C': 1, 'estimator__epsilon': 1, 'estimator__gamma': 'scale', 'estimator__kernel': 'rbf'}",-8.948720096013139,-2.6909158476449044,-2.0174402151595965,-3.4470888955968326,-2.4701969355603612,-2.194587507126208,-0.2058157221039378,-2.3479582439136992,-1.2158791286502635,-1.4629722358965327,-2.7001574827665475,2.2462548182784032,5
0.005937790870666504,0.0003437587408552572,0.001446080207824707,5.0091289552704545e-05,1,0.5,scale,rbf,"{'estimator__C': 1, 'estimator__epsilon': 0.5, 'estimator__gamma': 'scale', 'estimator__kernel': 'rbf'}",-10.064268532682263,-2.880812624835197,-2.6143239282668964,-3.154492957259138,-1.9342099019547077,-1.6278386976476034,-0.08411735398538434,-2.3605634503821684,-1.1090138297254981,-1.3033270974507776,-2.713296837418963,2.601023570011417,6
0.007482075691223144,0.001486832565610525,0.001649951934814453,0.00021569780899082877,1,0.2,scale,rbf,"{'estimator__C': 1, 'estimator__epsilon': 0.2, 'estimator__gamma': 'scale', 'estimator__kernel': 'rbf'}",-10.151995560849636,-2.9195615419043235,-2.9442149168017293,-3.043494343045043,-1.8018418552694229,-1.5516772738044142,-0.10620624104959292,-2.435634923619574,-1.1162631517274795,-1.2190439757031353,-2.728993378377435,2.6338965333418347,7
0.006805634498596192,0.000807807073067155,0.001704263687133789,0.000298925232567906,1,0.1,scale,rbf,"{'estimator__C': 1, 'estimator__epsilon': 0.1, 'estimator__gamma': 'scale', 'estimator__kernel': 'rbf'}",-10.132891582900221,-2.9664136635650644,-2.979542264590633,-3.071010544761543,-1.7938891718861787,-1.5577515149759655,-0.10873326300247871,-2.4467959992529393,-1.1309175288315112,-1.1998453778819216,-2.7387790911648455,2.629384637903011,8
0.0065965414047241214,0.0023486681859803205,0.0020408868789672852,0.0015508960868477067,10,0.2,auto,rbf,"{'estimator__C': 10, 'estimator__epsilon': 0.2, 'estimator__gamma': 'auto', 'estimator__kernel': 'rbf'}",-10.622397170322117,-3.735234213937097,-2.6220880788555343,-3.0393387493068915,-1.7854228375319408,-1.5731956727049925,-0.14125046571566657,-2.373053964260672,-1.1196714363676419,-0.9395195696876163,-2.795117215869017,2.796851747784904,9
0.007236075401306152,0.006085898813974749,0.0016867637634277344,0.0006671083815757345,10,0.5,auto,rbf,"{'estimator__C': 10, 'estimator__epsilon': 0.5, 'estimator__gamma': 'auto', 'estimator__kernel': 'rbf'}",-10.62602077215624,-3.625261558657912,-2.3845412265414434,-3.206830715013946,-1.967189714406504,-1.7420584043582015,-0.12244752579719932,-2.3316652113112095,-1.1128926682160565,-1.0675570486653247,-2.8186464845124037,2.780493228228917,10
0.005946111679077148,0.0010659881192143052,0.0015535593032836915,5.592615361293188e-05,10,0.1,auto,rbf,"{'estimator__C': 10, 'estimator__epsilon': 0.1, 'estimator__gamma': 'auto', 'estimator__kernel': 'rbf'}",-10.727642737003741,-3.794585351664869,-2.625299413174897,-3.1004386489944915,-1.7968917398550737,-1.5765731057784198,-0.13332787142980862,-2.4091370929852696,-1.110511387980687,-0.9421764736659214,-2.8216583822533177,2.828879740012553,11
