"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3640937";"";"None";"300.37";"0";"3.08";"BDBM115587";"CCc1ncnc(-c2ccccc2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"64.0";"nM";"7.19";"";"240224";"UO_0000065";"23.95";"0.43";"4.11";"11.12";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3645830";"";"None";"502.94";"1";"3.12";"BDBM116008";"CCc1ncnc(-c2cc(F)c(C(=O)N3CCn4cnnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"0.59";"nM";"9.23";"";"240620";"UO_0000065";"18.35";"0.35";"6.11";"7.98";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3643124";"";"None";"486.55";"0";"2.92";"BDBM115740";"CCc1ncnc(-c2ccc(C(=O)N(C)CCN3CCCC3=O)c(F)c2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"14.0";"nM";"7.85";"";"240377";"UO_0000065";"16.14";"0.30";"4.93";"7.46";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3640979";"";"None";"433.49";"0";"2.68";"BDBM115629";"CCc1ncnc(-c2ccc(C(=O)N(C)CCCO)c(F)c2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"1.0";"nM";"9.00";"";"240266";"UO_0000065";"20.76";"0.38";"6.32";"8.55";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3640999";"";"None";"520.61";"1";"4.49";"BDBM115650";"CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C";"IC50";"'='";"26.0";"nM";"7.58";"";"240287";"UO_0000065";"14.57";"0.27";"3.10";"8.60";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3643161";"";"None";"461.95";"0";"3.50";"BDBM115777";"CCc1ncnc(-c2ccc(C(=O)NCC3(C)COC3)c(Cl)c2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"6.99";"nM";"8.16";"";"240509";"UO_0000065";"17.65";"0.34";"4.66";"7.92";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3645801";"";"None";"427.51";"0";"2.60";"BDBM115979";"CCc1ncnc(-c2ccc(C(=O)N3CC[C@H](O)C3)c(C)c2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"8.91";"nM";"8.05";"";"240591";"UO_0000065";"18.83";"0.34";"5.45";"7.65";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3641024";"";"None";"484.60";"0";"3.26";"BDBM115675";"CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"2.0";"nM";"8.70";"";"240312";"UO_0000065";"17.95";"0.33";"5.44";"8.92";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3645867";"";"None";"509.40";"1";"3.30";"BDBM116046";"CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(C)C(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"1.99";"nM";"8.70";"";"240658";"UO_0000065";"17.08";"0.34";"5.40";"8.26";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3645870";"";"None";"509.44";"1";"4.17";"BDBM116049";"CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1";"IC50";"'='";"1.4";"nM";"8.85";"";"240661";"UO_0000065";"17.38";"0.35";"4.68";"10.03";"0";"CHEMBL3706089";"mTOR Kinase Activity Assay: The mTOR kinase TR-FRET assay utilizes a physiologically relevant protein substrate for mTOR (4E-BP1, labeled with an acceptor fluorophore (Green Fluorescent Protein) and paired with a corresponding Tb-labeled phospho-specific antibody. The assay itself can be divided into two phases: the reaction phase and the detection phase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2842";"Serine/threonine-protein kinase mTOR";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638592";"37";"BindingDB Database";"";"2014";"None";"";""
