"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL4528022";"";"None";"478.38";"0";"3.13";"Example 242";"COc1cc(OC)c(-c2cn3ccc(N4CCN(C(=O)C5CC5)CC4)nc3n2)cc1Cl.Cl";"IC50";"'='";"15.4";"nM";"7.81";"";"";"UO_0000065";"17.68";"0.34";"4.68";"10.82";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4534237";"";"None";"490.99";"0";"4.90";"Example 259";"COc1cc(OC)c(-c2cn3ccc(-c4ccc(C(=O)N5CCC(N)CC5)cc4)cc3n2)cc1Cl";"IC50";"'='";"58.6";"nM";"7.23";"";"";"UO_0000065";"14.73";"0.28";"2.33";"8.81";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4529303";"";"None";"598.87";"2";"5.33";"Example 290";"COc1cc(OC)c(-c2nc3cc(N4CCN(C(=O)OC(C)(C)C)CC4)ccn3c2I)cc1Cl";"IC50";"'='";"9.75";"nM";"8.01";"";"";"UO_0000065";"13.38";"0.32";"2.68";"11.69";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4583709";"";"None";"491.04";"1";"6.18";"Example 291";"COc1cc(OC)c(-c2cn3ccc(N[C@H]4CC[C@H](NCc5ccccc5)CC4)cc3n2)cc1Cl";"IC50";"'='";"41.0";"nM";"7.39";"";"";"UO_0000065";"15.04";"0.29";"1.21";"12.35";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4574823";"";"None";"463.97";"0";"4.39";"Example 292";"COc1cc(OC)c(-c2cn3ccc(N4CCN(Cc5ccncc5)CC4)cc3n2)cc1Cl";"IC50";"'='";"6.37";"nM";"8.20";"";"";"UO_0000065";"17.66";"0.34";"3.81";"14.87";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4579951";"";"None";"463.97";"0";"4.44";"Example 298";"COc1cc(OC)c(-c2cn3ccc(N4CC[C@H](NCc5ccncc5)C4)cc3n2)cc1Cl";"IC50";"'='";"6.49";"nM";"8.19";"";"";"UO_0000065";"17.65";"0.34";"3.75";"12.81";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4529163";"";"None";"516.05";"2";"6.06";"Example 371";"COc1cc(OC)c(-c2cn3ccc(N[C@H]4CC[C@@H](NCc5cccc(C#N)c5)CC4)cc3n2)cc1Cl";"IC50";"'='";"16.1";"nM";"7.79";"";"";"UO_0000065";"15.10";"0.29";"1.73";"9.32";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4483505";"";"None";"477.95";"0";"4.08";"Example 404";"COc1cc(OC)c(-c2cn3ccc(N4CC[C@H](NC(=O)c5ccccn5)C4)cc3n2)cc1Cl";"IC50";"'='";"4.03";"nM";"8.39";"";"";"UO_0000065";"17.56";"0.34";"4.31";"10.37";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4538290";"";"None";"584.16";"2";"5.88";"Example 425";"COc1cc(OC)c(-c2cn3ccc(N4CC[C@H](NC(C)C5CCN(C(=O)OC(C)(C)C)CC5)C4)cc3n2)cc1Cl";"IC50";"'='";"57.9";"nM";"7.24";"";"";"UO_0000065";"12.39";"0.24";"1.36";"8.98";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4483499";"";"None";"536.04";"2";"3.37";"Example 431";"COc1cc(OC)c(-c2cn3ccc(N4CCN(c5nc(N)nc(N6CCCC6)n5)CC4)cc3n2)cc1Cl";"IC50";"'='";"88.4";"nM";"7.05";"";"";"UO_0000065";"13.16";"0.25";"3.68";"6.40";"0";"CHEMBL4477004";"Inhibition of SUV39H2 (unknown origin) using H3 histone peptide substrate and [3H]-SAM incubated for 3 hrs by microbeta counting based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1795177";"Histone-lysine N-methyltransferase SUV39H2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476875";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
