"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL4793171";"";"None";"429.49";"0";"4.83";"618";"c1cc2cc(c1)-c1cncc3[nH]c(nc13)-c1n[nH]c3ccc(cc13)-c1cncc(c1)CNC2";"EC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"18.44";"0.33";"3.09";"8.32";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";"INHIBITOR"
"CHEMBL4795145";"";"None";"407.41";"0";"4.76";"628";"Fc1ccc(-c2cccc3[nH]c(-c4n[nH]c5ccc(-c6cncnc6)nc45)nc23)cc1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";""
"CHEMBL4755870";"";"None";"494.53";"0";"4.70";"151";"CN(C)CCOc1cncc(-c2cnc3[nH]nc(-c4nc5c(-c6cccc(F)c6)nccc5[nH]4)c3c2)c1";"EC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"14.68";"0.27";"2.56";"6.69";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";"INHIBITOR"
"CHEMBL4749607";"";"None";"406.42";"1";"5.37";"300";"Fc1cccc(-c2cncc3[nH]c(-c4n[nH]c5ncc(-c6cccnc6)cc45)cc23)c1";"EC50";"'='";"122.0";"nM";"6.91";"";"";"UO_0000065";"17.01";"0.30";"1.54";"8.32";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";"INHIBITOR"
"CHEMBL4779789";"";"None";"488.57";"1";"6.57";"315";"Fc1ccc(-c2nccc3[nH]c(-c4n[nH]c5ccc(-c6cncc(CN7CCCC7)c6)cc45)cc23)cc1";"EC50";"'='";"139.0";"nM";"6.86";"";"";"UO_0000065";"14.03";"0.25";"0.29";"9.33";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";"INHIBITOR"
"CHEMBL4749420";"";"None";"403.45";"0";"4.81";"347";"Nc1cncc(-c2ccc3[nH]nc(-c4cc5c(-c6cccnc6)nccc5[nH]4)c3c2)c1";"EC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"19.20";"0.34";"2.93";"7.09";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";"INHIBITOR"
"CHEMBL4755952";"";"None";"485.55";"1";"5.97";"355";"O=C(Nc1cncc(-c2cnc3[nH]nc(-c4cc5c(-c6cccnc6)cccc5[nH]4)c3c2)c1)C1CCC1";"EC50";"'='";"151.0";"nM";"6.82";"";"";"UO_0000065";"14.05";"0.25";"0.85";"6.08";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";"INHIBITOR"
"CHEMBL4777044";"";"None";"445.53";"1";"6.05";"361";"CC(C)Nc1cncc(-c2ccc3[nH]nc(-c4cc5c(-c6cccnc6)ccnc5[nH]4)c3c2)c1";"EC50";"'='";"164.0";"nM";"6.79";"";"";"UO_0000065";"15.23";"0.27";"0.74";"7.13";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";"INHIBITOR"
"CHEMBL4747922";"";"None";"403.45";"0";"4.81";"377";"Nc1cncc(-c2ccc3[nH]nc(-c4cc5c(-c6ccncc6)nccc5[nH]4)c3c2)c1";"EC50";"'='";"113.0";"nM";"6.95";"";"";"UO_0000065";"17.22";"0.31";"2.14";"6.36";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";"INHIBITOR"
"CHEMBL4789703";"";"None";"404.44";"0";"4.21";"380";"Nc1cncc(-c2cnc3[nH]nc(-c4cc5c(-c6ccncc6)ccnc5[nH]4)c3c2)c1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4739819";"Inhibition of recombinant CLK3 (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4226";"Dual specificity protein kinase CLK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4739717";"38";"Patent Bioactivity Data";"";"2020";"None";"TIME = 1.0 hr";""
