"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL4529123";"";"None";"364.37";"0";"0.44";"Q-1932; Example 939";"Cc1c(C(=O)N2CCc3[nH]ncc3C2)cnn1-c1nn2cccc2c(=O)[nH]1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"23.39";"0.43";"8.08";"7.29";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4521825";"";"None";"466.52";"0";"1.60";"Q-1984; Example 940";"Cc1c(C(=O)N2CCC(S(=O)(=O)c3ccccc3)CC2)cnn1-c1nn2cccc2c(=O)[nH]1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"19.29";"0.37";"7.40";"7.35";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4541050";"";"None";"409.37";"0";"1.07";"Q-1260; Example 900";"Cc1c(C(=O)N2CCN(CC(F)(F)F)CC2)cnn1-c1nc2cc[nH]c2c(=O)[nH]1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"18.38";"0.35";"6.45";"7.31";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4568776";"";"None";"422.37";"0";"0.60";"Q-1560; Example 926";"Cc1c(C(=O)N2CC3CC(C2)N3CC(F)(F)F)cnn1-c1nc2[nH]ncc2c(=O)[nH]1";"IC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"14.43";"0.28";"5.50";"5.27";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4517169";"";"None";"408.85";"0";"2.76";"Q-1071; Example 725";"Cc1c(C(=O)N2CCC2c2ccc(Cl)cc2)cnn1-c1nn2cccc2c(=O)[nH]1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"20.11";"0.39";"5.46";"9.31";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4553620";"";"None";"377.40";"0";"1.87";"Q-1049; Example 705";"Cc1c(C(=O)N2CCC(C(F)F)CC2)cnn1-c1nc2c(c(=O)[nH]1)CCC2";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"23.05";"0.44";"6.83";"10.37";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4578654";"";"None";"368.44";"0";"0.67";"Q-1022; Example 678";"Cc1c(C(=O)N2CCN(C3CC3)CC2)cnn1-c1nc2c(c(=O)[nH]1)CCC2";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"23.61";"0.44";"8.03";"9.99";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4586926";"";"None";"384.42";"0";"1.87";"Q-0998; Example 654";"Cc1c(C(=O)N2CCC3(CC2)CC(F)C3)cnn1-c1nn2cccc2c(=O)[nH]1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"23.41";"0.44";"7.13";"10.19";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4539567";"";"None";"366.39";"0";"-0.20";"Q-0918; Example 575";"Cc1c(C(=O)N2CCN(CC#N)CC2)cnn1-c1nn2cccc2c(=O)[nH]1";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"23.74";"0.44";"8.90";"7.54";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
"CHEMBL4531168";"";"None";"423.40";"0";"1.23";"Q-0908; Example 565";"Cc1c(C(=O)N2CCN(CC(F)(F)F)C(C)C2)cnn1-c1nn2cccc2c(=O)[nH]1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"21.26";"0.41";"7.77";"9.83";"0";"CHEMBL4482726";"Inhibition of terbium-labeled SNAP-tagged human SPR in presence of sulfasalazine-labeled SNAP-tagged EGFP by homogenous TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3988583";"Sepiapterin reductase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4482318";"38";"Patent Bioactivity Data";"";"2018";"None";"";""
