"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3701424";"";"None";"425.49";"0";"1.40";"BDBM121705";"COCC(=O)NCCNc1nc(-c2ccc(C(C)(C)O)cc2)cc2ncn(C)c(=O)c12";"IC50";"'='";"430.0";"nM";"6.37";"";"250291";"UO_0000065";"14.96";"0.28";"4.97";"5.38";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701435";"";"None";"388.45";"0";"1.12";"BDBM121716";"CNS(=O)(=O)c1ccc(-c2cc3ncn(C)c(=O)c3c(NC(C)C)n2)cn1";"IC50";"'='";"989.0";"nM";"6.00";"";"250302";"UO_0000065";"15.46";"0.30";"4.88";"5.05";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701477";"";"None";"417.49";"0";"1.09";"BDBM121758";"CC(C)Nc1nc(-c2cccc(S(=O)(=O)NCCO)c2)cc2ncn(C)c(=O)c12";"IC50";"'='";"118.0";"nM";"6.93";"";"250344";"UO_0000065";"16.59";"0.33";"5.84";"5.49";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701480";"";"None";"377.45";"0";"2.41";"BDBM121761";"Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(NC3CC3)c2c1=O";"IC50";"'='";"145.0";"nM";"6.84";"";"250347";"UO_0000065";"18.12";"0.33";"4.43";"9.46";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701494";"";"None";"384.46";"0";"2.36";"BDBM121776";"CCS(=O)(=O)c1ccc(-c2cc3ncn(C)c(=O)c3c(NC3CC3)n2)cc1";"IC50";"'='";"761.0";"nM";"6.12";"";"250362";"UO_0000065";"15.91";"0.31";"3.76";"6.51";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701542";"";"None";"484.63";"0";"1.84";"BDBM121825";"CCNc1nc(-c2ccc(S(=O)(=O)CCN3CCN(CC)CC3)cc2)cc2ncn(C)c(=O)c12";"IC50";"'='";"689.0";"nM";"6.16";"";"250411";"UO_0000065";"12.71";"0.25";"4.32";"6.14";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701557";"";"None";"431.52";"0";"1.62";"BDBM121840";"CCNc1nc(-c2ccc(N[C@H](C)CO)c(S(C)(=O)=O)c2)cc2ncn(C)c(=O)c12";"IC50";"'='";"137.0";"nM";"6.86";"";"250426";"UO_0000065";"15.90";"0.31";"5.24";"5.44";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701560";"";"None";"443.53";"0";"1.77";"BDBM121843";"C[C@@H](O)CNc1ccc(-c2cc3ncn(C)c(=O)c3c(NC3CC3)n2)cc1S(C)(=O)=O";"IC50";"'='";"168.0";"nM";"6.78";"";"250429";"UO_0000065";"15.27";"0.30";"5.00";"5.37";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701562";"";"None";"461.54";"0";"1.25";"BDBM121845";"COCCNc1nc(-c2ccc(NC[C@@H](C)O)c(S(C)(=O)=O)c2)cc2ncn(C)c(=O)c12";"IC50";"'='";"86.0";"nM";"7.07";"";"250431";"UO_0000065";"15.31";"0.30";"5.82";"5.22";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3701574";"";"None";"323.40";"0";"2.86";"BDBM121857";"CNc1ccc(-c2cc3ncn(C)c(=O)c3c(NC(C)C)n2)cc1";"IC50";"'='";"927.0";"nM";"6.03";"";"250443";"UO_0000065";"18.65";"0.34";"3.17";"8.40";"0";"CHEMBL3705362";"Mobility-Shift kinase assay: Compounds of the examples provided herein were assessed for their ability to inhibit Syk kinase by utilizing Caliper Life Sciences' proprietary LabChip technology. The off-chip incubation mobility-shift kinase assay uses a microfluidic chip to measure the conversion of a fluorescent peptide substrate to a phosphorylated product. The reaction mixture, from a microtiter plate well, is introduced through a capillary sipper onto the chip, where the nonphosphorylated substrate and phosphorylated product are separated by electrophoresis and detected via laser induced fluorescence. The signature of the fluorescence signal over time reveals the extent of the reaction. The phosphorylated product migrates through the chip faster than the non-phosphorylated substrate, and signals from the two forms of the peptide appear as distinct peaks.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2599";"Tyrosine-protein kinase SYK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639055";"37";"BindingDB Database";"";"2014";"None";"";""
