Host,SMILES,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
AP8,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC=C(C(N[C@@H](CC6=CC=C(O)C=C6)C(O)=O)=O)C=C5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,-1.30933332,0,-3.079113882,-5.184988681,-5.02068563,-3.772261063,-4.199705078,-2.603690186
AH4,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC6=C(C=CC=C6)N5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,-0.116533816,1.410986974,-2.207274913,-5.298317367,-3.506557897,-2.207274913,-2.3330443,-1.427116356
AH3,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC=CO5)C=C1CC6=C(O)C(C4)=CC(S(=O)(O)=O)=C6,0.262364264,1.098612289,-1.560647748,-3.9633163,-2.900422094,-1.660731207,-1.771956842,-1.237874356
AH1,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC6=C(C=CC=C6)O5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,0.262364264,2.48490665,-1.021651248,-3.473768074,-3.352407217,-2.375155786,-1.832581464,-0.274436846
AP9,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC5=CC=C(C=C5)O)=O)CC6=CC(S(=O)(O)=O)=CC(CC7=CC(S(=O)(O)=O)=CC3=C7O)=C6O,-1.171182982,0.530628251,-2.563949857,-4.96184513,-4.828313737,-3.506557897,-3.912023005,-2.120263536
AP6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(O)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.470003629,-0.127833372,-2.120263536,-4.342805922,-4.199705078,-3.244193633,-3.015934981,-1.46967597
E3,OC1=C(CC2=CC(NC(C3=CC=C(C4=CC=CC=C4)C=C3)=O)=CC(C5)=C2O)C=C(S(=O)(O)=O)C=C1CC6=C(O)C(CC7=C(O)C5=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,0.09531018,0.993251773,-1.049822124,-2.995732274,-2.488914671,-1.139434283,-1.021651248,-0.235722334
E6,OC1=C(CC2=CC(NC(OCC3=CC=CC=C3)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,-0.673344553,0.09531018,-1.771956842,-2.864704011,-2.488914671,0.78845736,0.405465108,-0.510825624
AP7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.587786665,0.336472237,-0.579818495,-2.975929646,-2.617295838,-4.017383521,-2.040220829,-0.342490309
E7,OC1=C(CC2=CC(NC(C3=C(F)C(F)=C(F)C(F)=C3F)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.066862759,2.48490665,1.435084525,-0.415515444,-0.248461359,0.693147181,1.193922468,2.186051277
