Host,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
PSC4,1.410986974,2.833213344,0.78845736,-0.186329578,-0.579818495,0.336472237,0.832909123,1.740466175
PSC6,-0.967584026,1.064710737,-1.347073648,-2.847312268,-4.074541935,-2.47693848,-1.514127733,-0.994252273
P-NO2,2.833213344,2.785011242,2.028148247,0.587786665,0.336472237,1.887069649,1.098612289,0.741937345
AP1,1.16315081,2.186051277,0,-1.30933332,-2.302585093,-1.272965676,-0.820980552,0.405465108
AP3,0.741937345,1.791759469,0.182321557,-1.171182982,-1.660731207,-0.867500568,-0.430782916,0.587786665
AP4,1.335001067,2.079441542,0.182321557,-0.776528789,-1.660731207,-0.891598119,0.182321557,1.16315081
AP5,1.458615023,2.041220329,0.262364264,-0.820980552,-1.966112856,-1.171182982,-0.510825624,0.470003629
AP6,0.470003629,-0.127833372,-2.120263536,-4.342805922,-4.199705078,-3.244193633,-3.015934981,-1.46967597
AP7,0.587786665,0.336472237,-0.579818495,-2.975929646,-2.617295838,-4.017383521,-2.040220829,-0.342490309
AP8,-1.30933332,0,-3.079113882,-5.184988681,-5.02068563,-3.772261063,-4.199705078,-2.603690186
AP9,-1.171182982,0.530628251,-2.563949857,-4.96184513,-4.828313737,-3.506557897,-3.912023005,-2.120263536
AM1,1.223775432,1.931521412,0.182321557,-0.693147181,-1.347073648,-0.634878272,-0.105360516,0.916290732
AM2,0.641853886,2.054123734,-0.634878272,-1.832581464,-2.813410717,-1.966112856,-1.386294361,0.182321557
AH1,0.262364264,2.48490665,-1.021651248,-3.473768074,-3.352407217,-2.375155786,-1.832581464,-0.274436846
AH2,0.182321557,0.955511445,0,-0.916290732,-0.967584026,-0.446287103,0.182321557,0.262364264
AH3,0.262364264,1.098612289,-1.560647748,-3.9633163,-2.900422094,-1.660731207,-1.771956842,-1.237874356
AH4,-0.116533816,1.410986974,-2.207274913,-5.298317367,-3.506557897,-2.207274913,-2.3330443,-1.427116356
AH5,3.135494216,4.605170186,2.116255515,-0.105360516,0,1.223775432,1.335001067,2.197224577
AH6,3.135494216,4.605170186,2.116255515,-0.105360516,0,1.223775432,1.335001067,2.197224577
AH7,2.397895273,2.397895273,0.916290732,-1.078809661,-0.94160854,0,0.182321557,1.481604541
AO1,2.066862759,2.2300144,1.686398954,-0.139262067,-0.314710745,0.336472237,0.832909123,1.504077397
AO2,1.410986974,1.945910149,0.09531018,-1.237874356,-2.207274913,-2.525728644,-0.083381609,0.470003629
AO3,1.458615023,1.824549292,0.78845736,-0.562118918,-1.108662625,-0.510825624,0.470003629,0.587786665
BP0,4.605170186,0,0.916290732,-1.30933332,-0.616186139,-0.371063681,0.78845736,1.589235205
BP1,0,1.871802177,-1.771956842,-3.729701449,-4.017383521,-3.170085661,-2.918771232,-1.30933332
BM1,-1.832581464,-0.891598119,-1.714798428,-2.207274913,-2.302585093,-1.560647748,-1.30933332,-1.237874356
BH2,4.605170186,0.693147181,1.386294361,-0.385662481,0.741937345,1.386294361,0.587786665,1.410986974
DP2,-0.356674944,0.09531018,-1.386294361,-2.302585093,-3.244193633,-2.645075402,-2.430418465,-1.347073648
DM1,-1.021651248,-0.261364764,-0.820980552,-2.120263536,-2.488914671,-1.139434283,1.252762968,-0.527632742
DO2,-3.324236341,-2.995732274,1.481604541,0.262364264,-0.494296322,0.405465108,1.410986974,1.547562509
DO3,-5.572754212,-6.265901393,-3.772261063,-4.815891217,-5.339139361,-4.509860006,-4.135166557,-5.572754212
CP1,4.605170186,1.335001067,0.405465108,-1.171182982,-0.653926467,-0.527632742,-0.478035801,-0.430782916
CP2,4.605170186,6.907755279,1.824549292,-1.30933332,-0.562118918,0.182321557,-0.597837001,1.481604541
E1,0.875468737,1.589235205,-0.235722334,-1.386294361,-2.207274913,-1.237874356,-0.967584026,0.470003629
E3,0.09531018,0.993251773,-1.049822124,-2.995732274,-2.488914671,-1.139434283,-1.021651248,-0.235722334
E5,4.043051268,4.605170186,0.741937345,-0.755022584,-1.171182982,-0.210721031,0.405465108,1.547562509
E6,-0.673344553,0.09531018,-1.771956842,-2.864704011,-2.488914671,0.78845736,0.405465108,-0.510825624
E7,2.066862759,2.48490665,1.435084525,-0.415515444,-0.248461359,0.693147181,1.193922468,2.186051277
E8,2.708050201,4.605170186,0.955511445,-0.127833372,-0.15082289,0.955511445,1.280933845,3.135494216
E11,3.663561646,4.605170186,1.774952351,1.16315081,-0.776528789,0.741937345,1.774952351,2.890371758
